기준년월,기간귀속,플랜트,자재유형,자재코드,계정코드,단위,기초수량,기초단가,기초금액,생산입고수량,생산입고단가,생산입고금액,구매입고수량,구매입고단가,구매입고금액,이동입고수량,이동입고단가,이동입고금액,기타입고수량,기타입고단가,기타입고금액,생산출고수량,생산출고단가,생산출고금액,판매출고수량,판매출고단가,판매출고금액,이동출고수량,이동출고단가,이동출고금액,기타출고수량,기타출고단가,기타출고금액,기말수량,기말단가,기말금액,비고
201512,전기,3000,제공품,64100-27000,1120300,EA,10,20803.8,208038,0,0.0,0,0,0,0,0,0,0,0,0.0,0,10,20803,208038,0,0.0,0,0,0,0,0,20803.8,0,0,0.0,0,0
201512,전기,3000,제공품,71754-2E000,1120300,EA,88,2368.7272727272725,208448,64521,2368.73,152832640,0,0,0,0,0,0,0,2368.73,0,64609,2368,153041088,0,0.0,0,0,0,0,0,2368.73,0,0,0.0,0,0
201512,전기,3000,제공품,69131-3N000,1120300,EA,36,6598.25,237537,1059,6598.25,6987543,0,0,0,0,0,0,0,6598.25,0,972,6490,6309234,0,0.0,0,0,0,0,9,6490.98,58419,114,7521.29,857427,0
201512,전기,3000,제공품,69141-3N000,1120300,EA,36,6879.416666666667,247659,1078,6879.42,7416020,0,0,0,0,0,0,0,6879.42,0,989,6781,6707241,0,0.0,0,0,0,0,12,6781.84,81382,113,0.0,875056,0
201512,전기,3000,제공품,64500-4A010,1120300,EA,12,22101.467499999988,265217,106,22101.48,2342757,0,0,0,0,0,0,5,22101.48,110507,118,22103,2608182,0,0.0,0,0,0,0,3,22103.24,66310,2,0.0,43990,0
201512,전기,3000,제공품,71603-1R401,1120300,EA,17,16274.529411764706,276667,18567,16274.54,302169311,0,0,0,0,0,0,0,16274.54,0,18584,16274,302445978,0,0.0,0,0,0,0,0,16274.54,0,0,0.0,0,0
201512,전기,3000,제공품,71633-2W000,1120300,EA,90,3299.8888888888887,296990,2,3300.0,6600,0,0,0,0,0,0,0,3300.0,0,92,3299,303590,0,0.0,0,0,0,0,0,3299.89,0,0,0.0,0,0
201512,전기,3000,제공품,71643-2W000,1120300,EA,90,3299.8888888888887,296990,2,3300.0,6600,0,0,0,0,0,0,0,3300.0,0,92,3299,303590,0,0.0,0,0,0,0,0,3299.89,0,0,0.0,0,0
201512,전기,3000,제공품,69300-2Q001,1120300,EA,25,12045.547600000016,301138,322,12045.56,3878672,0,0,0,0,0,0,36,12045.56,433640,96,12045,1156374,0,0.0,0,0,0,0,287,12045.56,3457077,0,0.0,0,0
201512,전기,3000,제공품,71641-2W250Y,1120300,EA,30,10069.2,302076,1,10069.0,10069,0,0,0,0,0,0,0,10069.0,0,31,10069,312145,0,0.0,0,0,0,0,0,10069.19,0,0,0.0,0,0
201512,전기,3000,제공품,71641-2W000Y,1120300,EA,30,10145.533333333333,304366,1,10146.0,10146,0,0,0,0,0,0,0,10146.0,0,31,10145,314512,0,0.0,0,0,0,0,0,10145.55,0,0,0.0,0,0
201512,전기,3000,제공품,71641-2W050Y,1120300,EA,30,10462.566666666668,313877,0,0.0,0,0,0,0,0,0,0,0,0.0,0,30,10462,313877,0,0.0,0,0,0,0,0,10462.57,0,0,0.0,0,0
201512,전기,3000,제공품,71650-1C500,1120300,EA,15,21244.133333333335,318662,12,21244.17,254930,0,0,0,0,0,0,0,21244.17,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,27,0.0,573592,0
201512,전기,3000,제공품,71575-2H100,1120300,EA,74,4754.810810810811,351856,1996,4754.81,9490598,0,0,0,0,0,0,0,4754.81,0,2039,4751,9687402,0,0.0,0,0,0,0,17,4751.06,80768,14,5306.0,74284,0
201512,전기,3000,제공품,64502-1E000,1120300,EA,44,8936.09477272727,393188,274,8936.08,2448487,0,0,0,0,0,0,128,8936.08,1143818,411,8936,3672731,0,0.0,0,0,0,0,35,8936.09,312763,0,0.0,0,0
201512,전기,3000,제공품,69300-2Q000,1120300,EA,34,11886.556470588233,404142,245,11886.54,2912203,0,0,0,0,0,0,284,11886.54,3375778,474,11798,5592559,0,0.0,0,0,0,0,33,11798.65,389355,56,12682.32,710210,0
