기준년월,기간귀속,플랜트,자재유형,자재코드,계정코드,단위,기초수량,기초단가,기초금액,생산입고수량,생산입고단가,생산입고금액,구매입고수량,구매입고단가,구매입고금액,이동입고수량,이동입고단가,이동입고금액,기타입고수량,기타입고단가,기타입고금액,생산출고수량,생산출고단가,생산출고금액,판매출고수량,판매출고단가,판매출고금액,이동출고수량,이동출고단가,이동출고금액,기타출고수량,기타출고단가,기타출고금액,기말수량,기말단가,기말금액,비고
201612,당기,3000,제공품,64100-27000,1120300,EA,0,0.0,0,10,20803.8,208038,0,0,0,0,0,0,0,20803.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10,20803.8,208038,0
201612,당기,3000,제공품,71754-2E000,1120300,EA,0,0.0,0,64609,2368.73,153041088,0,0,0,0,0,0,0,2368.73,0,64521,2368,152832640,0,0.0,0,0,0,0,0,2368.73,0,88,2368.73,208448,0
201612,당기,3000,제공품,69131-3N000,1120300,EA,114,7521.289473684211,857427,972,6490.98,6309234,0,0,0,0,0,0,9,6490.98,58418,1059,6598,6987543,0,0.0,0,0,0,0,0,6598.25,0,36,6598.25,237537,0
201612,당기,3000,제공품,69141-3N000,1120300,EA,113,7743.858407079646,875056,989,6781.84,6707241,0,0,0,0,0,0,12,6781.84,81382,1078,6879,7416020,0,0.0,0,0,0,0,0,6879.42,0,36,6879.42,247659,0
201612,당기,3000,제공품,64500-4A010,1120300,EA,2,21995.0,43990,118,22103.24,2608182,0,0,0,0,0,0,3,22103.24,66309,106,22101,2342756,0,0.0,0,0,0,0,5,22101.48,110507,12,22101.5,265218,0
201612,당기,3000,제공품,71603-1R401,1120300,EA,0,0.0,0,18584,16274.54,302445978,0,0,0,0,0,0,0,16274.54,0,18567,16274,302169311,0,0.0,0,0,0,0,0,16274.54,0,17,16274.53,276667,0
201612,당기,3000,제공품,71633-2W000,1120300,EA,0,0.0,0,92,3299.89,303590,0,0,0,0,0,0,0,3299.89,0,2,3300,6600,0,0.0,0,0,0,0,0,3300.0,-1,90,3299.9,296991,0
201612,당기,3000,제공품,71643-2W000,1120300,EA,0,0.0,0,92,3299.89,303590,0,0,0,0,0,0,0,3299.89,0,2,3300,6600,0,0.0,0,0,0,0,0,3300.0,-1,90,3299.9,296991,0
201612,당기,3000,제공품,69300-2Q001,1120300,EA,0,0.0,0,96,12045.56,1156374,0,0,0,0,0,0,287,12045.56,3457076,322,12045,3878671,0,0.0,0,0,0,0,36,12045.56,433640,25,12045.56,301139,0
201612,당기,3000,제공품,71641-2W250Y,1120300,EA,0,0.0,0,31,10069.19,312145,0,0,0,0,0,0,0,10069.19,0,1,10069,10069,0,0.0,0,0,0,0,0,10069.0,1,30,10069.17,302075,0
201612,당기,3000,제공품,71641-2W000Y,1120300,EA,0,0.0,0,31,10145.55,314512,0,0,0,0,0,0,0,10145.55,0,1,10146,10146,0,0.0,0,0,0,0,0,10146.0,-1,30,10145.57,304367,0
201612,당기,3000,제공품,71641-2W050Y,1120300,EA,0,0.0,0,30,10462.57,313877,0,0,0,0,0,0,0,10462.57,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,30,10462.57,313877,0
201612,당기,3000,제공품,71650-1C500,1120300,EA,27,21244.14814814815,573592,0,0.0,0,0,0,0,0,0,0,0,0.0,0,12,21244,254930,0,0.0,0,0,0,0,0,21244.17,0,15,21244.13,318662,0
201612,당기,3000,제공품,71575-2H100,1120300,EA,14,5306.0,74284,2039,4751.06,9687402,0,0,0,0,0,0,17,4751.06,80767,1996,4754,9490598,0,0.0,0,0,0,0,0,4754.81,0,74,4754.81,351856,0
201612,당기,3000,제공품,64502-1E000,1120300,EA,0,0.0,0,411,8936.09,3672731,0,0,0,0,0,0,35,8936.09,312762,274,8936,2448487,0,0.0,0,0,0,0,128,8936.08,1143818,44,8936.09,393188,0
201612,당기,3000,제공품,69300-2Q000,1120300,EA,56,12682.32142857143,710210,474,11798.65,5592559,0,0,0,0,0,0,33,11798.65,389355,245,11886,2912202,0,0.0,0,0,0,0,284,11886.54,3375779,34,11886.53,404142,0
201612,당기,3000,제공품,77122-2L200,1120300,EA,260,2505.6961538461537,651481,775,2257.82,1749813,0,0,0,0,0,0,0,2257.82,0,860,2320,1995278,0,0.0,0,0,0,0,0,2320.09,0,175,2320.09,406016,0
201612,당기,3000,제공품,71402-2L000,1120300,EA,57,13199.140350877193,752351,0,0.0,0,0,0,0,0,0,0,0,0.0,0,25,13199,329979,0,0.0,0,0,0,0,0,13199.16,0,32,13199.13,422372,0
201612,당기,3000,제공품,71202-2S010,1120300,EA,4,26956.0,107824,12726,24963.7,317688109,0,0,0,0,0,0,0,24963.7,0,12713,24964,317371540,0,0.0,0,0,0,0,0,24964.33,-1,17,24964.35,424394,0
201612,당기,3000,제공품,76123-39000,1120300,EA,0,0.0,0,1530,3984.15,6095748,0,0,0,0,0,0,0,3984.15,0,1422,3984,5665459,0,0.0,0,0,0,0,0,3984.15,1,108,3984.15,430288,0
201612,당기,3000,제공품,69300-2H010,1120300,EA,0,0.0,0,39,10408.17,405919,0,0,0,0,0,0,51,10408.17,530816,10,10408,104081,0,0.0,0,0,0,0,38,10408.17,395511,42,10408.17,437143,0
201612,당기,3000,제공품,71201-2Q000,1120300,EA,101,7557.9009900990095,763348,529,7157.45,3786290,0,0,0,0,0,0,11,7157.45,78731,569,7220,4108490,0,0.0,0,0,0,0,11,7220.55,79426,61,7220.54,440453,0
201612,당기,3000,제공품,64300-3X902,1120300,EA,0,0.0,0,220,36371.05,8001631,0,0,0,0,0,0,15,36371.05,545565,222,36371,8074373,0,0.0,0,0,0,0,0,36371.05,0,13,36371.08,472824,0
201612,당기,3000,제공품,71202-2Q000,1120300,EA,105,7530.238095238095,790675,521,7130.25,3714858,0,0,0,0,0,0,12,7130.25,85562,559,7196,4022606,0,0.0,0,0,0,0,12,7196.08,86352,67,7196.07,482137,0
201612,당기,3000,제공품,69300-3L250,1120300,EA,52,18669.46153846154,970812,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,18669,0,0,0.0,0,0,0,0,25,18669.48,466737,27,18669.44,504075,0
201612,당기,3000,제공품,71201-2S010,1120300,EA,12,27007.0,324084,12724,25012.88,318263873,0,0,0,0,0,0,0,25012.88,0,12715,25014,318062647,0,0.0,0,0,0,0,0,25014.76,0,21,25014.76,525310,0
201612,당기,3000,제공품,71402-3N800,1120300,EA,15,17608.8,264132,475,30639.65,14553835,0,0,0,0,0,0,0,30639.65,0,472,30240,14273633,0,0.0,0,0,0,0,0,30240.75,1,18,30240.72,544333,0
201612,당기,3000,제공품,71401-3N800,1120300,EA,15,17608.8,264132,477,30639.65,14615114,0,0,0,0,0,0,0,30639.65,0,474,30242,14334883,0,0.0,0,0,0,0,0,30242.37,0,18,30242.39,544363,0
201612,당기,3000,제공품,64160-2C001,1120300,EA,0,0.0,0,492,8623.25,4242641,0,0,0,0,0,0,77,8623.25,663990,420,8623,3621767,0,0.0,0,0,0,0,85,8623.26,732976,64,8623.25,551888,0
201612,당기,3000,제공품,71640-2V900,1120300,EA,59,5409.050847457627,319134,6757,4566.91,30858639,0,0,0,0,0,0,0,4566.91,0,6695,4574,30624294,0,0.0,0,0,0,0,0,4574.2,0,121,4574.21,553479,0
201612,당기,3000,제공품,69100-2H020,1120300,EA,27,8666.0,233982,563,8139.88,4582754,0,0,0,0,0,0,12,8139.88,97678,481,8163,3926633,0,0.0,0,0,0,0,53,8163.48,432664,68,8163.49,555117,0
201612,당기,3000,제공품,71575-2H600,1120300,EA,169,5220.556213017751,882274,3084,4878.7,15045908,0,0,0,0,0,0,2,4878.7,9757,3116,4896,15257332,0,0.0,0,0,0,0,19,4896.45,93032,120,4896.45,587574,0
201612,당기,3000,제공품,77123-2L000,1120300,EA,617,1357.771474878444,837745,2400,1193.78,2865072,0,0,0,0,0,0,0,1193.78,0,2533,1227,3108795,0,0.0,0,0,0,0,0,1227.32,0,484,1227.32,594022,0
201612,당기,3000,제공품,71401-2L000,1120300,EA,71,13234.042253521127,939617,0,0.0,0,0,0,0,0,0,0,0,0.0,0,23,13234,304383,0,0.0,0,0,0,0,0,13234.04,0,48,13234.04,635234,0
201612,당기,3000,제공품,71661-2W000Y,1120300,EA,0,0.0,0,90,7245.33,652080,0,0,0,0,0,0,0,7245.33,0,2,7245,14491,0,0.0,0,0,0,0,0,7245.5,0,88,7245.33,637589,0
201612,당기,3000,제공품,71651-2W000Y,1120300,EA,0,0.0,0,92,7298.7,671480,0,0,0,0,0,0,0,7298.7,0,2,7298,14597,0,0.0,0,0,0,0,0,7298.5,1,90,7298.69,656882,0
201612,당기,3000,제공품,71630-2V900,1120300,EA,137,5317.970802919708,728562,6721,4481.12,30117615,0,0,0,0,0,0,0,4481.12,0,6705,4497,30158007,0,0.0,0,0,0,0,0,4497.84,1,153,4497.84,688169,0
201612,당기,3000,제공품,71201-2S300,1120300,EA,63,27298.444444444445,1719802,10037,25277.58,253711093,0,0,0,0,0,0,0,25277.58,0,10072,25290,254722769,0,0.0,0,0,0,0,0,25290.19,1,28,25290.18,708125,0
201612,당기,3000,제공품,64120-3A001,1120300,EA,90,9374.41111111111,843697,461,10563.02,4869550,0,0,0,0,0,0,0,10563.02,0,150,10368,1555330,0,0.0,0,0,0,0,331,10368.87,3432095,70,10368.87,725821,0
201612,당기,3000,제공품,64300-2S800,1120300,EA,0,0.0,0,757,41950.74,31756712,0,0,0,0,0,0,0,41950.74,0,739,41950,31001599,0,0.0,0,0,0,0,0,41950.74,0,18,41950.72,755113,0
201612,당기,3000,제공품,71201-2S310,1120300,EA,31,26785.451612903227,830349,7718,24803.63,191434397,0,0,0,0,0,0,0,24803.63,0,7717,24811,191470777,0,0.0,0,0,0,0,0,24811.56,-1,32,24811.56,793970,0
201612,당기,3000,제공품,71202-2S310,1120300,EA,31,26734.58064516129,828772,7718,24754.45,191054872,0,0,0,0,0,0,0,24754.45,0,7714,24762,191016961,0,0.0,0,0,0,0,0,24762.38,0,35,24762.37,866683,0
201612,당기,3000,제공품,71606-3J200,1120300,EA,139,7808.705035971223,1085410,5713,6521.32,37256320,0,0,0,0,0,0,47,6521.32,306502,5762,6551,37750655,0,0.0,0,0,0,0,0,6551.66,0,137,6551.66,897577,0
201612,당기,3000,제공품,76214-39000,1120300,EA,0,0.0,0,2173,2992.3,6502260,0,0,0,0,0,0,0,2992.3,0,1873,2992,5604571,0,0.0,0,0,0,0,0,2992.3,0,300,2992.3,897689,0
201612,당기,3000,제공품,76224-39000,1120300,EA,0,0.0,0,2100,2992.3,6283823,0,0,0,0,0,0,0,2992.3,0,1800,2992,5386134,0,0.0,0,0,0,0,0,2992.3,0,300,2992.3,897689,0
201612,당기,3000,제공품,71620-B8200,1120300,EA,39,30577.846153846152,1192536,3316,27581.44,91460060,0,0,0,0,0,0,10,27581.44,275814,3322,27616,91740914,0,0.0,0,0,0,0,10,27616.17,276161,33,27616.18,911334,0
201612,당기,3000,제공품,71605-3J200,1120300,EA,152,7363.171052631579,1119202,5738,6121.65,35126044,0,0,0,0,0,0,47,6121.65,287717,5788,6153,35616102,0,0.0,0,0,0,0,0,6153.44,0,149,6153.44,916862,0
201612,당기,3000,제공품,69131-3N700,1120300,EA,148,12794.912162162162,1893647,17279,11644.85,201211302,0,0,0,0,0,0,26,11644.85,302766,17338,11654,202067436,0,0.0,0,0,0,0,35,11654.6,407910,80,11654.6,932368,0
201612,당기,3000,제공품,71231-2S000,1120300,EA,1260,7053.038888888889,8886829,149367,6956.57,1039081453,0,0,0,0,0,0,0,6956.57,0,0,6957,0,0,0.0,0,0,0,0,150487,6957.37,1046994250,140,6957.37,974032,0
201612,당기,3000,제공품,71585-2H600,1120300,EA,123,5249.739837398374,645718,3185,4911.13,15641959,0,0,0,0,0,0,2,4911.13,9822,3100,4923,15263518,0,0.0,0,0,0,0,2,4923.72,9847,208,4923.72,1024133,0
201612,당기,3000,제공품,69100-2H010,1120300,EA,488,8593.35450819672,4193557,8534,7996.55,68242527,0,0,0,0,0,0,45,7996.55,359844,8933,8028,71720087,0,0.0,0,0,0,0,4,8028.67,32114,130,8028.67,1043727,0
201612,당기,3000,제공품,64300-3X901,1120300,EA,151,39450.71523178808,5957058,6367,36353.26,231461235,0,0,0,0,0,0,0,36353.26,0,6473,36425,235779167,0,0.0,0,0,0,0,15,36425.02,546374,30,36425.03,1092751,0
201612,당기,3000,제공품,64300-3X050,1120300,EA,1524,32597.21850393701,49678161,195873,29947.03,5865814533,0,0,0,0,0,0,54,29947.03,1617139,197359,29967,5914352825,0,0.0,0,0,0,0,54,29967.48,1618244,38,29967.47,1138764,0
201612,당기,3000,제공품,71640-2V000,1120300,EA,215,5611.13488372093,1206394,54681,4343.02,237480406,0,0,0,0,0,0,0,4343.02,0,54616,4347,237469365,0,0.0,0,0,0,0,0,4347.98,0,280,4347.98,1217435,0
201612,당기,3000,제공품,69141-2M500,1120300,EA,215,11170.790697674418,2401720,18608,7786.25,144886514,0,0,0,0,0,0,0,7786.25,0,18607,7824,145598054,0,0.0,0,0,0,0,60,7824.91,469493,156,7824.91,1220686,0
201612,당기,3000,제공품,69131-2M500,1120300,EA,191,11170.895287958116,2133641,18762,7786.25,146085596,0,0,0,0,0,0,31,7786.25,241373,18745,7820,146591559,0,0.0,0,0,0,0,79,7820.3,617803,160,7820.3,1251248,0
201612,당기,3000,제공품,77112-2L200,1120300,EA,379,2505.5224274406332,949593,1067,2296.54,2450403,0,0,0,0,0,0,0,2296.54,0,910,2351,2139693,0,0.0,0,0,0,0,0,2351.31,0,536,2351.31,1260303,0
201612,당기,4000,제품,69300-3L200,1120100,EA,36,20177.055555555555,726374,0,21387.6,0,0,0,0,0,0,0,25,21387.6,534690,0,0,0,0,0.0,0,0,0,0,0,0.0,0,61,20673.18,1261064,0
201612,당기,4000,제품,69141-3L100,1120100,EA,120,7659.325,919119,201,7357.28,1478814,0,0,0,0,0,0,0,7357.28,0,0,0,0,80,7470.2,597616,0,0,0,72,7470.2,537854,169,7470.2,1262463,0
201612,당기,4000,제품,69100-2L210,1120100,EA,2,18915.5,37831,1130,16623.99,18785104,0,0,0,0,0,0,0,16623.99,0,0,0,0,1056,16628.04,17559205,0,0,0,0,16628.04,-1,76,16628.04,1263731,0
201612,당기,4000,제품,69300-3L100,1120100,EA,67,19254.89552238806,1290078,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,67,19254.9,1290078,0
201612,당기,4000,제품,69300-3K001,1120100,EA,129,15990.29457364341,2062748,1295,14945.79,19354797,0,0,0,0,0,0,17,14945.79,254078,0,0,0,765,15039.29,11505060,0,0,0,590,15039.29,8873184,86,15039.29,1293379,0
201612,당기,4000,제품,69100-2L000,1120100,EA,0,0.0,0,698,16113.41,11247162,0,0,0,0,0,0,32,16113.41,515629,0,0,0,649,16113.41,10457605,0,0,0,0,16113.41,0,81,16113.41,1305186,0
